[25Feb2025 00:00:25.918] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fletcher'/24184, l='ServerLevel[world]', x=-1490.43, y=72.00, z=2488.63] died, message: 'Fletcher was sniped by Archer'
[25Feb2025 00:00:39.766] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Farmer'/23746, l='ServerLevel[world]', x=-1458.94, y=73.00, z=2451.83] died, message: 'Farmer was slain by Vindicator'
[25Feb2025 00:00:41.867] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Shepherd'/23928, l='ServerLevel[world]', x=-1457.30, y=75.00, z=2452.69] died, message: 'Shepherd was slain by Vindicator'
[25Feb2025 00:00:53.065] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/23745, l='ServerLevel[world]', x=-1457.57, y=72.62, z=2445.70] died, message: 'Fisherman was slain by Vindicator'
[25Feb2025 00:00:59.462] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/23929, l='ServerLevel[world]', x=-1457.53, y=72.50, z=2446.96] died, message: 'Fisherman was slain by Vindicator'
[25Feb2025 00:01:26.114] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/24595, l='ServerLevel[world]', x=-1539.30, y=70.00, z=2452.09] died, message: 'Fisherman was slain by Zombie'
[25Feb2025 00:01:44.715] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/24594, l='ServerLevel[world]', x=-1561.24, y=68.00, z=2462.61] died, message: 'Fisherman was slain by Guster'
[25Feb2025 00:02:18.168] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/24522, l='ServerLevel[world]', x=-1540.55, y=70.00, z=2452.39] died, message: 'Fisherman was slain by Husk'
[25Feb2025 00:02:30.714] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/24521, l='ServerLevel[world]', x=-1527.51, y=68.54, z=2418.48] died, message: 'Fisherman was shot by Pillager'
[25Feb2025 00:03:09.761] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Shepherd'/24524, l='ServerLevel[world]', x=-1559.81, y=68.00, z=2468.19] died, message: 'Shepherd was slain by Husk'
[25Feb2025 00:03:13.063] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Fisherman'/24596, l='ServerLevel[world]', x=-1554.77, y=68.77, z=2465.32] died, message: 'Fisherman was slain by Husk'
[25Feb2025 00:04:43.863] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Farmer'/24189, l='ServerLevel[world]', x=-1457.84, y=72.00, z=2438.83] died, message: 'Farmer was shot by Pillager'
[25Feb2025 00:05:04.916] [Server thread/INFO] [net.minecraft.world.entity.npc.Villager/]: Villager Villager['Librarian'/24188, l='ServerLevel[world]', x=-1457.30, y=75.00, z=2452.52] died, message: 'Librarian was shot by Pillager'
